TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
31047FRTLY1200H,-83.598,32.451,False,13,153,021500,13,13153,13153021500,1400000US13153021500,FRITO-LAY INC  - PERRY PLANT,1200 HWY 247 S,KATHLEEN,GA,31047,"FRITO-LAY INC  - PERRY PLANT.1200 HWY 247 S, KATHLEEN GEORGIA 31047 (HOUSTON)",0,C,,110000588203
31013STHDW2720H,-83.633,32.415,False,13,153,021500,13,13153,13153021500,1400000US13153021500,CEMEX SOUTHEAST LLC-CLINCHFIELD CEMENT PLANT,2720 HWY 341 S,CLINCHFIELD,GA,31013,"CEMEX SOUTHEAST LLC-CLINCHFIELD CEMENT PLANT.2720 HWY 341 S, CLINCHFIELD GEORGIA 31013 (HOUSTON)",0,C,,110056967000
31047MDGRG200OA,-83.604,32.485,False,13,153,021500,13,13153,13153021500,1400000US13153021500,MID-GEORGIA COGEN,200 OAKY WOODS RD,KATHLEEN,GA,31047,"MID-GEORGIA COGEN.200 OAKY WOODS RD, KATHLEEN GEORGIA 31047 (HOUSTON)",0,C,,110000359969
31204GTNDS3101H,-83.67399999999999,32.839,False,13,021,012300,13,13021,13021012300,1400000US13021012300,G & T INDUSTRIES OF GEORGIA INC,3101 HILLCREST AVE,MACON,GA,31204,"G & T INDUSTRIES OF GEORGIA INC.3101 HILLCREST AVE, MACON GEORGIA 31204 (BIBB)",0,C,,
31206LFRGR291RF,-83.66799999999999,32.844,False,13,021,012300,13,13021,13021012300,1400000US13021012300,ARGOS MACON CONCRETE PLANT,2901 ROFF AVE,MACON,GA,31204,"ARGOS MACON CONCRETE PLANT.2901 ROFF AVE, MACON GEORGIA 31204 (BIBB)",0,C,,110022447823
31533MRNMF1815S,-82.851,31.478,False,13,069,010801,13,13069,13069010801,1400000US13069010801,MARINE MANUFACTURING INC.,1125 MAGNOLIA ST,DOUGLAS,GA,31533,"MARINE MANUFACTURING INC..1125 MAGNOLIA ST, DOUGLAS GEORGIA 31533 (COFFEE)",0,C,,110005281131
31606STRLN5700H,-83.22399999999999,30.835,False,13,185,010700,13,13185,13185010700,1400000US13185010700,ERCO WORLDWIDE INC,5700 HUNT RD,VALDOSTA,GA,31606,"ERCO WORLDWIDE INC.5700 HUNT RD, VALDOSTA GEORGIA 31606 (LOWNDES)",0,C,,110000360877
31707DDSNS1920L,-84.191,31.623,False,13,177,020403,13,13095,13177020403,1400000US13177020403,SCHUFF STEEL - ATLANTIC INC,1920 LEDO RD,ALBANY,GA,31707,"SCHUFF STEEL - ATLANTIC INC.1920 LEDO RD, ALBANY GEORGIA 31707 (DOUGHERTY)",0,C,,110000360975
31763CRMRT1319U,-84.243,31.633000000000003,False,13,177,020403,13,13177,13177020403,1400000US13177020403,CROMARTIE AGRICULTURAL CHEMICALS INC,1319 US 82 W,LEESBURG,GA,31763,"CROMARTIE AGRICULTURAL CHEMICALS INC.1319 US 82 W, LEESBURG GEORGIA 31763 (LEE)",0,C,,110012706544
31792GRNDM270DA,-84.00399999999999,30.831,False,13,275,960800,13,13275,13275960800,1400000US13275960800,GRAND MANOR INC,1025 CAMPBELL ST,THOMASVILLE,GA,317926339,"GRAND MANOR INC.1025 CAMPBELL ST, THOMASVILLE GEORGIA 31792 (THOMAS)",0,C,,
31792CLVRB221LA,-83.99,30.831,False,13,275,960800,13,13275,13275960800,1400000US13275960800,CLEAVER BROOKS,221 LAW ST,THOMASVILLE,GA,31792,"CLEAVER BROOKS.221 LAW ST, THOMASVILLE GEORGIA 31792 (THOMAS)",0,C,,110000361180
31806KNGSCUSHWY,-84.29899999999999,32.221,False,13,249,960200,13,13249,13249960200,1400000US13249960200,KING'S CUSTOM BUILDERS INC.,U. S HWY 19 S,ELLAVILLE,GA,31806,"KING'S CUSTOM BUILDERS INC..U. S HWY 19 S, ELLAVILLE GEORGIA 31806 (SCHLEY)",0,C,,110011516305
31825RDMNHHWY28,-84.833,32.083,False,13,259,950400,13,13259,13259950400,1400000US13259950400,REDMAN HOMES INC,HWY 280 E,RICHLAND,GA,318250319,"REDMAN HOMES INC.HWY 280 E, RICHLAND GEORGIA 31825 (STEWART)",0,C,,
31902SNSHN3700V,-84.944,32.416,False,13,215,003400,13,13215,13215003400,1400000US13215003400,KEEBLER FOODS CO,3700 VICTORY DR,COLUMBUS,GA,31902,"KEEBLER FOODS CO.3700 VICTORY DR, COLUMBUS GEORGIA 31902 (MUSCOGEE)",0,C,,110000511660
30182GLDKSWACOS,-85.204,33.71,False,13,143,010302,13,13143,13143010302,1400000US13143010302,PILGRIM'S PRIDE FEED MILL,WACO SCHOOL RD,WACO,GA,30182,"PILGRIM'S PRIDE FEED MILL.WACO SCHOOL RD, WACO GEORGIA 30182 (HARALSON)",0,C,,110000604515
30517MYFLD1160B,-83.78399999999999,34.104,False,13,157,010102,13,13157,13157010102,1400000US13157010102,MAYFIELD DAIRY FARMS LLC,1160 BROADWAY AVE,BRASELTON,GA,30517,"MAYFIELD DAIRY FARMS LLC.1160 BROADWAY AVE, BRASELTON GEORGIA 30517 (JACKSON)",0,C,,110000510769
31036LCTRR2500C,-84.167,34.016,False,13,135,050205,13,13135,13135050205,1400000US13135050205,ELECTRO RENT CORP,3500 CORPORATE WAY,DULUTH,GA,30096,"ELECTRO RENT CORP.3500 CORPORATE WAY, DULUTH GEORGIA 30096 (GWINNETT)",0,C,,
31650FLTWDPOBOX,-83.04299999999999,31.339000000000002,False,13,003,960100,13,13003,13003960100,1400000US13003960100,FLEETWOOD HOMES OF GEORGIA INC 34-2,FLEETWOOD AVE,WILLACOOCHEE,GA,316500598,"FLEETWOOD HOMES OF GEORGIA INC 34-2.FLEETWOOD AVE, WILLACOOCHEE GEORGIA 31650 (ATKINSON)",1,C,,110000604613
31650SJMFG710WM,-83.057,31.346,False,13,003,960100,13,13003,13003960100,1400000US13003960100,WHITTLEY INTERNATIONAL INC.,774 W MARSHALL AVE,WILLACOOCHEE,GA,31650,"WHITTLEY INTERNATIONAL INC..774 W MARSHALL AVE, WILLACOOCHEE GEORGIA 31650 (ATKINSON)",0,C,,110000604604
31650LNGBR1000S,-83.038,31.315,False,13,003,960100,13,13003,13003960100,1400000US13003960100,LANGBOARD MDF,548 LANGBOARD RD,WILLACOOCHEE,GA,31650,"LANGBOARD MDF.548 LANGBOARD RD, WILLACOOCHEE GEORGIA 31650 (ATKINSON)",0,C,,110039162465
31650MCCRMMCCRA,-83.042,31.339,True,13,003,960100,13,13003,13003960100,1400000US13003960100,"MCCRANIE BROTHERS WOOD, PRESERVING INC",MCCRANIE AVE,WILLACOOCHEE,GA,31650,"MCCRANIE BROTHERS WOOD, PRESERVING INC MCCRANIE AVE, WILLACOOCHEE, GA, 31650",0,C,,
