TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
79915PHLPS897HA,-106.38,31.763,False,48,141,003501,48,48141,48141003501,1400000US48141003501,PHELPS DODGE COPPER PRODUCTS CO,897 HAWKINS BLVD,EL PASO,TX,79915,"PHELPS DODGE COPPER PRODUCTS CO.897 HAWKINS BLVD, EL PASO TEXAS 79915 (EL PASO)",0,C,,110000466273
79998PHLPSNORTH,-106.38,31.763,False,48,141,003501,48,48141,48141003501,1400000US48141003501,PHELPS DODGE REFINING CORP,6999 N LOOP RD,EL PASO,TX,79915,"PHELPS DODGE REFINING CORP.6999 N LOOP RD, EL PASO TEXAS 79915 (EL PASO)",0,C,,
79915LMRDT6966M,-106.384,31.769000000000002,False,48,141,003501,48,48141,48141003501,1400000US48141003501,L&M RADIATOR,6966 MARKET ST,EL PASO,TX,79915,"L&M RADIATOR.6966 MARKET ST, EL PASO TEXAS 79915 (EL PASO)",0,C,,110002135537
79915PLNFL6841C,-106.38799999999999,31.774,False,48,141,003501,48,48141,48141003501,1400000US48141003501,PLAINFIELD STAMPING TEXAS INC,6841 COMMERCE AVE,EL PASO,TX,79915,"PLAINFIELD STAMPING TEXAS INC.6841 COMMERCE AVE, EL PASO TEXAS 79915 (EL PASO)",0,C,,
79905CHVRN6550G,-106.399,31.781,False,48,141,003501,48,48141,48141003501,1400000US48141003501,CHEVRON CORP EL PASO ASPHALT REFY,6550 GATEWAY E,EL PASO,TX,79905,"CHEVRON CORP EL PASO ASPHALT REFY.6550 GATEWAY E, EL PASO TEXAS 79905 (EL PASO)",0,C,,
79915VNWTR6980M,-106.383,31.768,False,48,141,003501,48,48141,48141003501,1400000US48141003501,VAN WATERS & ROGERS INC,6980 MARKET AVE,EL PASO,TX,79915,"VAN WATERS & ROGERS INC.6980 MARKET AVE, EL PASO TEXAS 79915 (EL PASO)",0,C,,
7990WDPNTX651TR,-106.40100000000001,31.769000000000002,False,48,141,003501,48,48141,48141003501,1400000US48141003501,VEOLIA - BORDERLAND SAR,6501 TROWBRIDGE RD,EL PASO,TX,79905,"VEOLIA - BORDERLAND SAR.6501 TROWBRIDGE RD, EL PASO TEXAS 79905 (EL PASO)",0,C,,110031332635
79915SMRFT735ST,-106.376,31.747,False,48,141,003501,48,48141,48141003501,1400000US48141003501,SMURFIT-STONE CONTAINER CORP EL PASO EAST,7350 STILES DR,EL PASO,TX,79915,"SMURFIT-STONE CONTAINER CORP EL PASO EAST.7350 STILES DR, EL PASO TEXAS 79915 (EL PASO)",0,C,,110005144726
79906BXTRHONEBU,-106.404,31.813000000000002,False,48,141,980000,48,48141,48141980000,1400000US48141980000,ALLEGIANCE HEALTHCARE CORP CONVERTERS/CUSTOM STERILE DIV,1 BUTTERFIELD TRAIL,EL PASO,TX,79906,"ALLEGIANCE HEALTHCARE CORP CONVERTERS/CUSTOM STERILE DIV.1 BUTTERFIELD TRAIL, EL PASO TEXAS 79906 (EL PASO)",0,C,,
79906STWRT44BUT,-106.39299999999999,31.813000000000002,False,48,141,980000,48,48141,48141980000,1400000US48141980000,STEWART EFI FINISHING LLC,44 BUTTERFIELD CIR,EL PASO,TX,79906,"STEWART EFI FINISHING LLC.44 BUTTERFIELD CIR, EL PASO TEXAS 79906 (EL PASO)",0,C,,110005113260
