TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
34950HDKNG311NI,-80.324,27.451,False,12,111,380100,12,12111,12111380100,1400000US12111380100,H D KING POWER PLANT,311 NORTH INDIAN RIVER DR,FORT PIERCE,FL,349504425,"H D KING POWER PLANT.311 NORTH INDIAN RIVER DR, FORT PIERCE FLORIDA 34950 (ST LUCIE)",0,C,,
34956MRTNPSR710,-80.565,27.055999999999997,False,12,085,001802,12,12085,12085001802,1400000US12085001802,FPL-MARTIN PLANT,21900 SW WARFIELD BLVD STATE RT 710,INDIANTOWN,FL,34956,"FPL-MARTIN PLANT.21900 SW WARFIELD BLVD STATE RT 710, INDIANTOWN FLORIDA 34956 (MARTIN)",0,C,,110008320566
32401CHVRN525WB,-85.667,30.158,False,12,005,002000,12,12005,12005002000,1400000US12005002000,CHEVRON PANAMA CITY TERMINAL,525 W BEACH DR,PANAMA CITY,FL,32401,"CHEVRON PANAMA CITY TERMINAL.525 W BEACH DR, PANAMA CITY FLORIDA 32401 (BAY)",0,C,,110035497744
32408STHRN7932M,-85.766,30.180999999999997,False,12,005,002603,12,12005,12005002603,1400000US12005002603,SOUTHERN MARBLE INC.,7932 MCELVERY RD,PANAMA CITY BEACH,FL,32408,"SOUTHERN MARBLE INC..7932 MCELVERY RD, PANAMA CITY BEACH FLORIDA 32408 (BAY)",0,C,,110002102858
32534PCKTT7870P,-87.26700000000001,30.509,False,12,033,003400,12,12033,12033003400,1400000US12033003400,PUCKETT OIL CO INC,7870 PENSACOLA BLVD,PENSACOLA,FL,32534,"PUCKETT OIL CO INC.7870 PENSACOLA BLVD, PENSACOLA FLORIDA 32534 (ESCAMBIA)",0,C,,110002102929
32609MRGMF3001N,-82.296,29.68,False,12,001,000400,12,12001,12001000400,1400000US12001000400,MIRAGE MANUFACTURING CO INC,3001 NE 20TH WAY,GAINESVILLE,FL,32609,"MIRAGE MANUFACTURING CO INC.3001 NE 20TH WAY, GAINESVILLE FLORIDA 32609 (ALACHUA)",0,C,,110002102965
32643DNNNN7100N,-82.691,29.816,False,12,041,950201,12,12041,12041950201,1400000US12041950201,CCDA WATERS L L C,7100 N E COUNTY RD 340,HIGH SPRINGS,FL,32643,"CCDA WATERS L L C.7100 N E COUNTY RD 340, HIGH SPRINGS FLORIDA 32643 (GILCHRIST)",0,C,,
32720HPPDL84WAV,-81.35,29.014,False,12,127,090701,12,12127,12127090701,1400000US12127090701,FORTERRA PIPE & PRECAST - DELAND,840 WEST AVE,DELAND,FL,32720,"FORTERRA PIPE & PRECAST - DELAND.840 WEST AVE, DELAND FLORIDA 32720 (VOLUSIA)",0,C,,110005642279
32962NVRNF2105S,-80.369,27.561999999999998,False,12,061,050606,12,12061,12061050606,1400000US12061050606,NOVURANIA OF AMERICA INC,2105 S US HWY 1,VERO BEACH,FL,32962,"NOVURANIA OF AMERICA INC.2105 S US HWY 1, VERO BEACH FLORIDA 32962 (INDIAN RIVER)",0,C,,110002338523
33016MRBLL9920N,-80.32600000000001,25.864,False,12,086,013700,12,12086,12086013700,1400000US12086013700,MARBLE-LITE CORP,9920 NW 79 AVE,HIALEAH GARDENS,FL,33016,"MARBLE-LITE CORP.9920 NW 79 AVE, HIALEAH GARDENS FLORIDA 33016 (MIAMI-DADE)",0,C,,110035639146
