TRI_CHEM_INFO.TRI_CHEM_ID,TRI_CHEM_INFO.CHEM_NAME,TRI_CHEM_INFO.ACTIVE_DATE,TRI_CHEM_INFO.INACTIVE_DATE,TRI_CHEM_INFO.CAAC_IND,TRI_CHEM_INFO.CARC_IND,TRI_CHEM_INFO.R3350_IND,TRI_CHEM_INFO.METAL_IND,TRI_CHEM_INFO.FEDS_IND,TRI_CHEM_INFO.CLASSIFICATION,TRI_CHEM_INFO.PBT_START_YEAR,TRI_CHEM_INFO.PBT_END_YEAR,TRI_CHEM_INFO.NO_DECIMALS,TRI_CHEM_INFO.UNIT_OF_MEASURE,TRI_CHEM_INFO.CAS_REGISTRY_NUMBER,TRI_CHEM_INFO.SRS_ID,TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_81C,TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_81D,TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_87,TRI_CHEM_INFO.PFAS_IND,
"0000088857","Dinitrobutyl phenol","1995","9999","0","0","0","0","0","0","","","","Pounds","88-85-7","12047","12","54","34","0"
"0010453868","Resmethrin","1995","9999","0","0","0","0","0","0","","","","Pounds","10453-86-8","171413","0","0","100","0"
"0026002802","Phenothrin","1995","9999","0","0","0","0","0","0","","","","Pounds","26002-80-2","236513","38","0","62","0"
"0039515418","Fenpropathrin","1995","9999","0","0","0","0","0","0","","","","Pounds","39515-41-8","279604","0","0","100","0"
"0000051036","Piperonyl butoxide","1995","9999","0","0","0","0","0","0","","","","Pounds","51-03-6","1263","39","3","58","0"
"0000085018","Phenanthrene","1995","9999","1","0","0","0","0","0","","","","Pounds","85-01-8","10199","32","6","62","0"
"0000122349","Simazine","1995","9999","0","0","0","0","0","0","","","","Pounds","122-34-9","32219","2","77","21","0"
"0021087649","Metribuzin","1995","9999","0","0","0","0","0","0","","","","Pounds","21087-64-9","219204","1","54","45","0"
"0007287196","Prometryn","1995","9999","0","0","0","0","0","0","","","","Pounds","7287-19-6","148098","11","56","33","0"
"0000094111","2,4-D isopropyl ester","1995","9999","0","1","0","0","0","0","","","","Pounds","94-11-1","15289","8","2","90","0"
"0027314132","Norflurazon","1995","9999","0","0","0","0","0","0","","","","Pounds","27314-13-2","245191","0","0","100","0"
"0043121433","Triadimefon","1995","9999","0","0","0","0","0","0","","","","Pounds","43121-43-3","286872","3","48","49","0"
"0060168889","Fenarimol","1995","9999","0","0","0","0","0","0","","","","Pounds","60168-88-9","316356","0","0","100","0"
"0000834128","Ametryn","1995","9999","0","0","0","0","0","0","","","","Pounds","834-12-8","71894","4","45","51","0"
"0000128030","Potassium dimethyldithiocarbamate","1995","9999","0","0","0","0","0","0","","","","Pounds","128-03-0","34454","1","28","71","0"
"0002702729","2,4-D sodium salt","1995","9999","0","1","0","0","0","0","","","","Pounds","2702-72-9","106419","2","6","92","0"
"0000300765","Naled","1995","9999","0","0","0","0","0","0","","","","Pounds","300-76-5","41426","1","25","74","0"
"0031218834","Propetamphos","1995","9999","0","0","0","0","0","0","","","","Pounds","31218-83-4","258731","0","0","100","0"
"0000051218","Fluorouracil","1995","9999","0","0","0","0","0","0","","","","Pounds","51-21-8","1305","1","55","44","0"
"0035691657","1-Bromo-1-(bromomethyl)-1,3-propanedicarbonitrile","1995","9999","0","0","0","0","0","0","","","","Pounds","35691-65-7","269886","0","0","100","0"
"0004080313","1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride","1995","9999","0","0","0","0","0","0","","","","Pounds","4080-31-3","121244","1","55","44","0"
"0001649087","1,2-Dichloro-1,1-difluoroethane (HCFC-132b)","1995","9999","0","0","0","0","0","0","","","","Pounds","1649-08-7","90118","1","97","2","0"
"0000431867","1,2-Dichloro-1,1,3,3,3-pentafluoropropane (HCFC-225da)","1995","9999","0","0","0","0","0","0","","","","Pounds","431-86-7","45534","0","0","100","0"
"0000071363","n-Butyl alcohol","1987","9999","0","0","0","0","0","0","","","","Pounds","71-36-3","4739","0","8","92","0"
"0000072435","Methoxychlor","1987","9999","1","0","0","0","0","1","2000","9999","7","Pounds","72-43-5","4903","45","2","53","0"
"0000078842","Isobutyraldehyde","1987","9999","0","0","0","0","0","0","","","","Pounds","78-84-2","7369","0","9","91","0"
"0000088755","2-Nitrophenol","1987","9999","0","0","0","0","0","0","","","","Pounds","88-75-5","12005","1","59","40","0"
"0001114712","Pebulate","1995","9999","0","0","0","0","0","0","","","","Pounds","1114-71-2","78329","0","0","100","0"
"0010034932","Hydrazine sulfate (1:1)","1987","9999","0","1","0","0","0","0","","","","Pounds","10034-93-2","166959","2","98","0","0"
"0066441234","Fenoxaprop-ethyl","1995","9999","0","0","0","0","0","0","","","","Pounds","66441-23-4","356030","0","0","100","0"
"0000074953","Methylene bromide","1987","9999","0","0","0","0","0","0","","","","Pounds","74-95-3","5173","1","61","38","0"
"0000075865","2-Methyllactonitrile","1995","9999","0","0","0","0","0","0","","","","Pounds","75-86-5","5942","0","0","100","0"
"0000085687","Butyl benzyl phthalate","1987","1993","0","0","0","0","0","0","","","","Pounds","85-68-7","10470","0","0","100","0"
"0000105679","2,4-Dimethylphenol","1987","9999","0","0","0","0","0","0","","","","Pounds","105-67-9","22970","1","23","76","0"
"0000123728","Butyraldehyde","1987","9999","0","0","0","0","0","0","","","","Pounds","123-72-8","33134","0","9","91","0"
"0007440280","Thallium","1987","9999","0","0","0","1","0","0","","","","Pounds","7440-28-0","149898","54","46","0","0"
"0012185103","Phosphorus (yellow or white)","1987","9999","1","0","0","0","0","0","","","","Pounds","12185-10-3","153049","60","40","0","0"
"N982","Zinc compounds","1987","9999","0","0","0","1","0","0","","","","Pounds","N982","649699","66","34","0","0"
"0000079221","Methyl chlorocarbonate","1994","9999","0","0","0","0","0","0","","","","Pounds","79-22-1","7690","0","1","99","0"
"0000098862","Acetophenone","1994","9999","1","0","0","0","0","0","","","","Pounds","98-86-2","18333","0","8","92","0"
"0001120714","1,3-Propane sultone","1987","9999","1","1","0","0","0","0","","","","Pounds","1120-71-4","79012","1","29","70","0"
"0007440508","Copper","1987","9999","0","0","0","1","0","0","","","","Pounds","7440-50-8","150086","72","28","0","0"
"N760","Thallium compounds","1987","9999","0","0","0","1","0","0","","","","Pounds","N760","649673","54","46","0","0"
"0000059892","N-Nitrosomorpholine","1987","9999","1","1","0","0","0","0","","","","Pounds","59-89-2","3194","0","0","100","0"
"0000071432","Benzene","1987","9999","1","1","1","0","0","0","","","","Pounds","71-43-2","4754","1","23","76","0"
"0000075218","Ethylene oxide","1987","9999","1","1","0","0","0","0","","","","Pounds","75-21-8","5405","0","9","91","0"
"0000076131","Freon 113 (CFC-113)","1987","9999","0","0","0","0","0","0","","","","Pounds","76-13-1","6148","3","96","1","0"
"0000090437","2-Phenylphenol","1987","9999","0","0","0","0","0","0","","","","Pounds","90-43-7","13003","3","5","92","0"
"0000106503","p-Phenylenediamine","1987","9999","1","0","0","0","0","0","","","","Pounds","106-50-3","23663","1","55","44","0"
"0000108394","m-Cresol","1987","9999","1","0","0","0","0","0","","","","Pounds","108-39-4","25064","0","8","92","0"
"0000115286","Chlorendic acid","1995","9999","0","1","0","0","0","0","","","","Pounds","115-28-6","29124","0","0","100","0"
"0000123637","Paraldehyde","1994","9999","0","0","0","0","0","0","","","","Pounds","123-63-7","33076","1","55","44","0"
"0000354256","1-Chloro-1,1,2,2-tetrafluoroethane (HCFC-124a)","1994","9999","0","0","0","0","0","0","","","","Pounds","354-25-6","43497","0","99","1","0"
"0000680319","Hexamethylphosphoramide","1987","9999","1","1","0","0","0","0","","","","Pounds","680-31-9","67314","0","0","100","0"
"0069409945","Fluvalinate","1995","9999","0","0","0","0","0","0","","","","Pounds","69409-94-5","515775","0","0","100","0"
"0000510156","Chlorobenzilate","1987","9999","1","0","0","0","0","0","","","","Pounds","510-15-6","49320","39","3","58","0"
"0068359375","Cyfluthrin","1995","9999","0","0","0","0","0","0","","","","Pounds","68359-37-5","420992","38","0","62","0"
"N874","Warfarin and salts","1994","9999","0","0","0","0","0","0","","","","Pounds","N874","649681","3","97","0","0"
"0000063252","Carbaryl","1987","9999","1","0","0","0","0","0","","","","Pounds","63-25-2","3723","1","12","87","0"
"0000075718","Dichlorodifluoromethane (CFC-12)","1991","9999","0","0","0","0","0","0","","","","Pounds","75-71-8","5801","0","99","1","0"
"0000085449","Phthalic anhydride","1987","9999","1","0","0","0","0","0","","","","Pounds","85-44-9","10355","0","1","99","0"
"0000107211","Ethylene glycol","1987","9999","1","0","0","0","0","0","","","","Pounds","107-21-1","24257","0","8","92","0"
"0000120365","2,4-DP","1995","9999","0","1","0","0","0","0","","","","Pounds","120-36-5","31146","8","34","58","0"
"0002032657","Methiocarb","1995","9999","0","0","0","0","0","0","","","","Pounds","2032-65-7","95679","0","0","100","0"
"0069806504","Fluazifop-butyl","1995","9999","0","0","0","0","0","0","","","","Pounds","69806-50-4","516765","0","0","100","0"
"0000091087","Toluene-2,6-diisocyanate","1987","9999","0","1","0","0","0","0","","","","Pounds","91-08-7","13243","2","1","97","0"
