field,type,nullable,comment,metadata
000104949,float,True,P-ANISIDINE,'metadata': {'comment': 'P-ANISIDINE'}
000107186,float,True,ALLYL ALCOHOL,'metadata': {'comment': 'ALLYL ALCOHOL'}
000108952,float,True,PHENOL,'metadata': {'comment': 'PHENOL'}
000115071,float,True,PROPYLENE,'metadata': {'comment': 'PROPYLENE'}
000120832,float,True,"2,4-DICHLOROPHENOL","'metadata': {'comment': '2,4-DICHLOROPHENOL'}"
000131113,float,True,DIMETHYL PHTHALATE,'metadata': {'comment': 'DIMETHYL PHTHALATE'}
000137268,float,True,THIRAM,'metadata': {'comment': 'THIRAM'}
000150685,float,True,MONURON,'metadata': {'comment': 'MONURON'}
000306832,float,True,"2,2-DICHLORO-1,1,1-TRIFLUOROETHANE","'metadata': {'comment': '2,2-DICHLORO-1,1,1-TRIFLUOROETHANE'}"
000422446,float,True,"1,2-DICHLORO-1,1,2,3,3-PENTAFLUOROPROPANE","'metadata': {'comment': '1,2-DICHLORO-1,1,2,3,3-PENTAFLUOROPROPANE'}"
000541731,float,True,"1,3-DICHLOROBENZENE","'metadata': {'comment': '1,3-DICHLOROBENZENE'}"
000621647,float,True,N-NITROSODI-N-PROPYLAMINE,'metadata': {'comment': 'N-NITROSODI-N-PROPYLAMINE'}
000924163,float,True,N-NITROSODI-N-BUTYLAMINE,'metadata': {'comment': 'N-NITROSODI-N-BUTYLAMINE'}
001313275,float,True,MOLYBDENUM TRIOXIDE,'metadata': {'comment': 'MOLYBDENUM TRIOXIDE'}
001918167,float,True,PROPACHLOR,'metadata': {'comment': 'PROPACHLOR'}
002300665,float,True,DIMETHYLAMINE DICAMBA,'metadata': {'comment': 'DIMETHYLAMINE DICAMBA'}
002655154,float,True,"2,3,5-TRIMETHYLPHENYL METHYLCARBAMATE","'metadata': {'comment': '2,3,5-TRIMETHYLPHENYL METHYLCARBAMATE'}"
005902512,float,True,TERBACIL,'metadata': {'comment': 'TERBACIL'}
007440439,float,True,CADMIUM,'metadata': {'comment': 'CADMIUM'}
007758012,float,True,POTASSIUM BROMATE,'metadata': {'comment': 'POTASSIUM BROMATE'}
012427382,float,True,MANEB,'metadata': {'comment': 'MANEB'}
017804352,float,True,BENOMYL,'metadata': {'comment': 'BENOMYL'}
025311711,float,True,ISOFENPHOS,'metadata': {'comment': 'ISOFENPHOS'}
041198087,float,True,PROFENOFOS,'metadata': {'comment': 'PROFENOFOS'}
053404378,float,True,"2,4-D 2-ETHYL-4-METHYLPENTYL ESTER","'metadata': {'comment': '2,4-D 2-ETHYL-4-METHYLPENTYL ESTER'}"
071751412,float,True,ABAMECTIN,'metadata': {'comment': 'ABAMECTIN'}
MIXTURE,float,True,MIXTURE,'metadata': {'comment': 'MIXTURE'}
000079016,float,True,TRICHLOROETHYLENE,'metadata': {'comment': 'TRICHLOROETHYLENE'}
000119904,float,True,"3,3'-DIMETHOXYBENZIDINE","'metadata': {'comment': '3,3'-DIMETHOXYBENZIDINE'}"
001861401,float,True,BENFLURALIN,'metadata': {'comment': 'BENFLURALIN'}
023564069,float,True,THIOPHANATE ETHYL,'metadata': {'comment': 'THIOPHANATE ETHYL'}
001982690,float,True,SODIUM DICAMBA,'metadata': {'comment': 'SODIUM DICAMBA'}
000149304,float,True,2-MERCAPTOBENZOTHIAZOLE,'metadata': {'comment': '2-MERCAPTOBENZOTHIAZOLE'}
000124403,float,True,DIMETHYLAMINE,'metadata': {'comment': 'DIMETHYLAMINE'}
000354143,float,True,"1,1,2,2-TETRACHLORO-1-FLUOROETHANE","'metadata': {'comment': '1,1,2,2-TETRACHLORO-1-FLUOROETHANE'}"
023950585,float,True,PRONAMIDE,'metadata': {'comment': 'PRONAMIDE'}
000115322,float,True,DICOFOL,'metadata': {'comment': 'DICOFOL'}
063938103,float,True,CHLOROTETRAFLUOROETHANE,'metadata': {'comment': 'CHLOROTETRAFLUOROETHANE'}
N040,float,True,BARIUM COMPOUNDS,'metadata': {'comment': 'BARIUM COMPOUNDS'}
000100027,float,True,4-NITROPHENOL,'metadata': {'comment': '4-NITROPHENOL'}
020816120,float,True,OSMIUM TETROXIDE,'metadata': {'comment': 'OSMIUM TETROXIDE'}
000074839,float,True,BROMOMETHANE,'metadata': {'comment': 'BROMOMETHANE'}
007440382,float,True,ARSENIC,'metadata': {'comment': 'ARSENIC'}
000075887,float,True,"2-CHLORO-1,1,1-TRIFLUOROETHANE","'metadata': {'comment': '2-CHLORO-1,1,1-TRIFLUOROETHANE'}"
000056235,float,True,CARBON TETRACHLORIDE,'metadata': {'comment': 'CARBON TETRACHLORIDE'}
020325400,float,True,"3,3'-DIMETHOXYBENZIDINE DIHYDROCHLORIDE","'metadata': {'comment': '3,3'-DIMETHOXYBENZIDINE DIHYDROCHLORIDE'}"
000107302,float,True,CHLOROMETHYL METHYL ETHER,'metadata': {'comment': 'CHLOROMETHYL METHYL ETHER'}
000052857,float,True,FAMPHUR,'metadata': {'comment': 'FAMPHUR'}
000092933,float,True,4-NITROBIPHENYL,'metadata': {'comment': '4-NITROBIPHENYL'}
009006422,float,True,METIRAM,'metadata': {'comment': 'METIRAM'}
007440666,float,True,ZINC (FUME OR DUST),'metadata': {'comment': 'ZINC (FUME OR DUST)'}
000094360,float,True,BENZOYL PEROXIDE,'metadata': {'comment': 'BENZOYL PEROXIDE'}
006484522,float,True,AMMONIUM NITRATE (SOLUTION),'metadata': {'comment': 'AMMONIUM NITRATE (SOLUTION)'}
000353593,float,True,BROMOCHLORODIFLUOROMETHANE,'metadata': {'comment': 'BROMOCHLORODIFLUOROMETHANE'}
N106,float,True,CYANIDE COMPOUNDS,'metadata': {'comment': 'CYANIDE COMPOUNDS'}
001330207,float,True,XYLENE (MIXED ISOMERS),'metadata': {'comment': 'XYLENE (MIXED ISOMERS)'}
000060117,float,True,4-DIMETHYLAMINOAZOBENZENE,'metadata': {'comment': '4-DIMETHYLAMINOAZOBENZENE'}
010028156,float,True,OZONE,'metadata': {'comment': 'OZONE'}
000058899,float,True,LINDANE,'metadata': {'comment': 'LINDANE'}
007696120,float,True,TETRAMETHRIN,'metadata': {'comment': 'TETRAMETHRIN'}
000075694,float,True,TRICHLOROFLUOROMETHANE,'metadata': {'comment': 'TRICHLOROFLUOROMETHANE'}
000540590,float,True,"1,2-DICHLOROETHYLENE","'metadata': {'comment': '1,2-DICHLOROETHYLENE'}"
001918009,float,True,DICAMBA,'metadata': {'comment': 'DICAMBA'}
000056382,float,True,PARATHION,'metadata': {'comment': 'PARATHION'}
029232937,float,True,PIRIMIPHOS METHYL,'metadata': {'comment': 'PIRIMIPHOS METHYL'}
000055210,float,True,BENZAMIDE,'metadata': {'comment': 'BENZAMIDE'}
007439965,float,True,MANGANESE,'metadata': {'comment': 'MANGANESE'}
128903219,float,True,"2,2-DICHLORO-1,1,1,3,3-PENTAFLUOROPROPANE","'metadata': {'comment': '2,2-DICHLORO-1,1,1,3,3-PENTAFLUOROPROPANE'}"
000608935,float,True,PENTACHLOROBENZENE,'metadata': {'comment': 'PENTACHLOROBENZENE'}
000569642,float,True,C.I. BASIC GREEN 4,'metadata': {'comment': 'C.I. BASIC GREEN 4'}
060207901,float,True,PROPICONAZOLE,'metadata': {'comment': 'PROPICONAZOLE'}
000108101,float,True,METHYL ISOBUTYL KETONE,'metadata': {'comment': 'METHYL ISOBUTYL KETONE'}
000075014,float,True,VINYL CHLORIDE,'metadata': {'comment': 'VINYL CHLORIDE'}
000106898,float,True,EPICHLOROHYDRIN,'metadata': {'comment': 'EPICHLOROHYDRIN'}
003844459,float,True,"C.I. ACID BLUE 9, DISODIUM SALT","'metadata': {'comment': 'C.I. ACID BLUE 9, DISODIUM SALT'}"
051235042,float,True,HEXAZINONE,'metadata': {'comment': 'HEXAZINONE'}
000126727,float,True,"TRIS(2,3-DIBROMOPROPYL) PHOSPHATE","'metadata': {'comment': 'TRIS(2,3-DIBROMOPROPYL) PHOSPHATE'}"
007647010,float,True,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),'metadata': {'comment': 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)'}
002439103,float,True,DODINE,'metadata': {'comment': 'DODINE'}
004680788,float,True,C.I. ACID GREEN 3,'metadata': {'comment': 'C.I. ACID GREEN 3'}
008001589,float,True,CREOSOTE,'metadata': {'comment': 'CREOSOTE'}
000084742,float,True,DIBUTYL PHTHALATE,'metadata': {'comment': 'DIBUTYL PHTHALATE'}
INVALID,float,True,INVALID,'metadata': {'comment': 'INVALID'}
000122667,float,True,"1,2-DIPHENYLHYDRAZINE","'metadata': {'comment': '1,2-DIPHENYLHYDRAZINE'}"
000534521,float,True,"4,6-DINITRO-O-CRESOL","'metadata': {'comment': '4,6-DINITRO-O-CRESOL'}"
030560191,float,True,ACEPHATE,'metadata': {'comment': 'ACEPHATE'}
076578148,float,True,QUIZALOFOP-ETHYL,'metadata': {'comment': 'QUIZALOFOP-ETHYL'}
000055185,float,True,N-NITROSODIETHYLAMINE,'metadata': {'comment': 'N-NITROSODIETHYLAMINE'}
N100,float,True,COPPER COMPOUNDS,'metadata': {'comment': 'COPPER COMPOUNDS'}
000081072,float,True,"SACCHARIN (MANUFACTURING, NO SUPPLIER NOTIFICATION)","'metadata': {'comment': 'SACCHARIN (MANUFACTURING, NO SUPPLIER NOTIFICATION)'}"
000062759,float,True,N-NITROSODIMETHYLAMINE,'metadata': {'comment': 'N-NITROSODIMETHYLAMINE'}
000075558,float,True,PROPYLENEIMINE,'metadata': {'comment': 'PROPYLENEIMINE'}
000101779,float,True,"4,4'-METHYLENEDIANILINE","'metadata': {'comment': '4,4'-METHYLENEDIANILINE'}"
005598130,float,True,CHLORPYRIFOS METHYL,'metadata': {'comment': 'CHLORPYRIFOS METHYL'}
053404196,float,True,"BROMACIL, LITHIUM SALT","'metadata': {'comment': 'BROMACIL, LITHIUM SALT'}"
007664417,float,True,AMMONIA,'metadata': {'comment': 'AMMONIA'}
000052517,float,True,"2-BROMO-2-NITROPROPANE-1,3-DIOL","'metadata': {'comment': '2-BROMO-2-NITROPROPANE-1,3-DIOL'}"
000079107,float,True,ACRYLIC ACID,'metadata': {'comment': 'ACRYLIC ACID'}
001344281,float,True,ALUMINUM OXIDE (FIBROUS FORMS),'metadata': {'comment': 'ALUMINUM OXIDE (FIBROUS FORMS)'}
000100254,float,True,P-DINITROBENZENE,'metadata': {'comment': 'P-DINITROBENZENE'}
000081889,float,True,C.I. FOOD RED 15,'metadata': {'comment': 'C.I. FOOD RED 15'}
000110543,float,True,N-HEXANE,'metadata': {'comment': 'N-HEXANE'}
000330541,float,True,DIURON,'metadata': {'comment': 'DIURON'}
007664382,float,True,PHOSPHORIC ACID,'metadata': {'comment': 'PHOSPHORIC ACID'}
000099650,float,True,M-DINITROBENZENE,'metadata': {'comment': 'M-DINITROBENZENE'}
001563662,float,True,CARBOFURAN,'metadata': {'comment': 'CARBOFURAN'}
000533744,float,True,DAZOMET,'metadata': {'comment': 'DAZOMET'}
000108883,float,True,TOLUENE,'metadata': {'comment': 'TOLUENE'}
000098077,float,True,BENZOIC TRICHLORIDE,'metadata': {'comment': 'BENZOIC TRICHLORIDE'}
000100210,float,True,TEREPHTHALIC ACID,'metadata': {'comment': 'TEREPHTHALIC ACID'}
000121142,float,True,"2,4-DINITROTOLUENE","'metadata': {'comment': '2,4-DINITROTOLUENE'}"
000111911,float,True,BIS(2-CHLOROETHOXY)METHANE,'metadata': {'comment': 'BIS(2-CHLOROETHOXY)METHANE'}
034077877,float,True,DICHLOROTRIFLUOROETHANE,'metadata': {'comment': 'DICHLOROTRIFLUOROETHANE'}
001320189,float,True,"2,4-D PROPYLENE GLYCOL BUTYL ETHER ESTER","'metadata': {'comment': '2,4-D PROPYLENE GLYCOL BUTYL ETHER ESTER'}"
N590,float,True,POLYCYCLIC AROMATIC COMPOUNDS,'metadata': {'comment': 'POLYCYCLIC AROMATIC COMPOUNDS'}
000095692,float,True,P-CHLORO-O-TOLUIDINE,'metadata': {'comment': 'P-CHLORO-O-TOLUIDINE'}
000148798,float,True,THIABENDAZOLE,'metadata': {'comment': 'THIABENDAZOLE'}
002832408,float,True,C.I. DISPERSE YELLOW 3,'metadata': {'comment': 'C.I. DISPERSE YELLOW 3'}
N740,float,True,SILVER COMPOUNDS,'metadata': {'comment': 'SILVER COMPOUNDS'}
034014181,float,True,TEBUTHIURON,'metadata': {'comment': 'TEBUTHIURON'}
000301122,float,True,OXYDEMETON METHYL,'metadata': {'comment': 'OXYDEMETON METHYL'}
013463677,float,True,TITANIUM DIOXIDE,'metadata': {'comment': 'TITANIUM DIOXIDE'}
001689845,float,True,BROMOXYNIL,'metadata': {'comment': 'BROMOXYNIL'}
000120718,float,True,P-CRESIDINE,'metadata': {'comment': 'P-CRESIDINE'}
000121697,float,True,"N,N-DIMETHYLANILINE","'metadata': {'comment': 'N,N-DIMETHYLANILINE'}"
000096128,float,True,"1,2-DIBROMO-3-CHLOROPROPANE","'metadata': {'comment': '1,2-DIBROMO-3-CHLOROPROPANE'}"
000079061,float,True,ACRYLAMIDE,'metadata': {'comment': 'ACRYLAMIDE'}
000075434,float,True,DICHLOROFLUOROMETHANE,'metadata': {'comment': 'DICHLOROFLUOROMETHANE'}
088671890,float,True,MYCLOBUTANIL,'metadata': {'comment': 'MYCLOBUTANIL'}
003653483,float,True,METHOXONE SODIUM SALT,'metadata': {'comment': 'METHOXONE SODIUM SALT'}
000074873,float,True,CHLOROMETHANE,'metadata': {'comment': 'CHLOROMETHANE'}
N770,float,True,VANADIUM COMPOUNDS,'metadata': {'comment': 'VANADIUM COMPOUNDS'}
000078488,float,True,"S,S,S-TRIBUTYLTRITHIOPHOSPHATE","'metadata': {'comment': 'S,S,S-TRIBUTYLTRITHIOPHOSPHATE'}"
000422560,float,True,"3,3-DICHLORO-1,1,1,2,2-PENTAFLUOROPROPANE","'metadata': {'comment': '3,3-DICHLORO-1,1,1,2,2-PENTAFLUOROPROPANE'}"
002837890,float,True,"2-CHLORO-1,1,1,2-TETRAFLUOROETHANE","'metadata': {'comment': '2-CHLORO-1,1,1,2-TETRAFLUOROETHANE'}"
N078,float,True,CADMIUM COMPOUNDS,'metadata': {'comment': 'CADMIUM COMPOUNDS'}
000062566,float,True,THIOUREA,'metadata': {'comment': 'THIOUREA'}
000106445,float,True,P-CRESOL,'metadata': {'comment': 'P-CRESOL'}
000541413,float,True,ETHYL CHLOROFORMATE,'metadata': {'comment': 'ETHYL CHLOROFORMATE'}
000624839,float,True,METHYL ISOCYANATE,'metadata': {'comment': 'METHYL ISOCYANATE'}
002164172,float,True,FLUOMETURON,'metadata': {'comment': 'FLUOMETURON'}
000051285,float,True,"2,4-DINITROPHENOL","'metadata': {'comment': '2,4-DINITROPHENOL'}"
000075569,float,True,PROPYLENE OXIDE,'metadata': {'comment': 'PROPYLENE OXIDE'}
000116063,float,True,ALDICARB,'metadata': {'comment': 'ALDICARB'}
001912249,float,True,ATRAZINE,'metadata': {'comment': 'ATRAZINE'}
004170303,float,True,CROTONALDEHYDE,'metadata': {'comment': 'CROTONALDEHYDE'}
014484641,float,True,FERBAM,'metadata': {'comment': 'FERBAM'}
025321146,float,True,DINITROTOLUENE (MIXED ISOMERS),'metadata': {'comment': 'DINITROTOLUENE (MIXED ISOMERS)'}
000542881,float,True,BIS(CHLOROMETHYL) ETHER,'metadata': {'comment': 'BIS(CHLOROMETHYL) ETHER'}
000606202,float,True,"2,6-DINITROTOLUENE","'metadata': {'comment': '2,6-DINITROTOLUENE'}"
000067721,float,True,HEXACHLOROETHANE,'metadata': {'comment': 'HEXACHLOROETHANE'}
000079345,float,True,"1,1,2,2-TETRACHLOROETHANE","'metadata': {'comment': '1,1,2,2-TETRACHLOROETHANE'}"
000095545,float,True,"1,2-PHENYLENEDIAMINE","'metadata': {'comment': '1,2-PHENYLENEDIAMINE'}"
000128665,float,True,C.I. VAT YELLOW 4,'metadata': {'comment': 'C.I. VAT YELLOW 4'}
000314409,float,True,BROMACIL,'metadata': {'comment': 'BROMACIL'}
007783202,float,True,AMMONIUM SULFATE (SOLUTION),'metadata': {'comment': 'AMMONIUM SULFATE (SOLUTION)'}
040487421,float,True,PENDIMETHALIN,'metadata': {'comment': 'PENDIMETHALIN'}
090982324,float,True,CHLORIMURON ETHYL,'metadata': {'comment': 'CHLORIMURON ETHYL'}
013194484,float,True,ETHOPROP,'metadata': {'comment': 'ETHOPROP'}
074051802,float,True,SETHOXYDIM,'metadata': {'comment': 'SETHOXYDIM'}
000064186,float,True,FORMIC ACID,'metadata': {'comment': 'FORMIC ACID'}
000078886,float,True,"2,3-DICHLOROPROPENE","'metadata': {'comment': '2,3-DICHLOROPROPENE'}"
000092875,float,True,BENZIDINE,'metadata': {'comment': 'BENZIDINE'}
000106478,float,True,P-CHLOROANILINE,'metadata': {'comment': 'P-CHLOROANILINE'}
000142596,float,True,NABAM,'metadata': {'comment': 'NABAM'}
001319773,float,True,CRESOL (MIXED ISOMERS),'metadata': {'comment': 'CRESOL (MIXED ISOMERS)'}
007782414,float,True,FLUORINE,'metadata': {'comment': 'FLUORINE'}
000137417,float,True,POTASSIUM N-METHYLDITHIOCARBAMATE,'metadata': {'comment': 'POTASSIUM N-METHYLDITHIOCARBAMATE'}
000138932,float,True,DISODIUM CYANODITHIOIMIDOCARBONATE,'metadata': {'comment': 'DISODIUM CYANODITHIOIMIDOCARBONATE'}
000139139,float,True,NITRILOTRIACETIC ACID,'metadata': {'comment': 'NITRILOTRIACETIC ACID'}
000080057,float,True,"4,4'-ISOPROPYLIDENEDIPHENOL","'metadata': {'comment': '4,4'-ISOPROPYLIDENEDIPHENOL'}"
000076028,float,True,TRICHLOROACETYL CHLORIDE,'metadata': {'comment': 'TRICHLOROACETYL CHLORIDE'}
000101906,float,True,DIGLYCIDYL RESORCINOL ETHER,'metadata': {'comment': 'DIGLYCIDYL RESORCINOL ETHER'}
000117840,float,True,N-DIOCTYL PHTHALATE,'metadata': {'comment': 'N-DIOCTYL PHTHALATE'}
000134327,float,True,ALPHA-NAPHTHYLAMINE,'metadata': {'comment': 'ALPHA-NAPHTHYLAMINE'}
000584849,float,True,"TOLUENE-2,4-DIISOCYANATE","'metadata': {'comment': 'TOLUENE-2,4-DIISOCYANATE'}"
001336363,float,True,POLYCHLORINATED BIPHENYLS,'metadata': {'comment': 'POLYCHLORINATED BIPHENYLS'}
000068122,float,True,"N,N-DIMETHYLFORMAMIDE","'metadata': {'comment': 'N,N-DIMETHYLFORMAMIDE'}"
000095954,float,True,"2,4,5-TRICHLOROPHENOL","'metadata': {'comment': '2,4,5-TRICHLOROPHENOL'}"
010294345,float,True,BORON TRICHLORIDE,'metadata': {'comment': 'BORON TRICHLORIDE'}
000132274,float,True,SODIUM O-PHENYLPHENOXIDE,'metadata': {'comment': 'SODIUM O-PHENYLPHENOXIDE'}
000053963,float,True,2-ACETYLAMINOFLUORENE,'metadata': {'comment': '2-ACETYLAMINOFLUORENE'}
000104121,float,True,P-CHLOROPHENYL ISOCYANATE,'metadata': {'comment': 'P-CHLOROPHENYL ISOCYANATE'}
000110827,float,True,CYCLOHEXANE,'metadata': {'comment': 'CYCLOHEXANE'}
000594423,float,True,PERCHLOROMETHYL MERCAPTAN,'metadata': {'comment': 'PERCHLOROMETHYL MERCAPTAN'}
001910425,float,True,PARAQUAT DICHLORIDE,'metadata': {'comment': 'PARAQUAT DICHLORIDE'}
007440484,float,True,COBALT,'metadata': {'comment': 'COBALT'}
028407376,float,True,C.I. DIRECT BLUE 218,'metadata': {'comment': 'C.I. DIRECT BLUE 218'}
N458,float,True,MERCURY COMPOUNDS,'metadata': {'comment': 'MERCURY COMPOUNDS'}
000075650,float,True,TERT-BUTYL ALCOHOL,'metadata': {'comment': 'TERT-BUTYL ALCOHOL'}
000106467,float,True,"1,4-DICHLOROBENZENE","'metadata': {'comment': '1,4-DICHLOROBENZENE'}"
000108601,float,True,BIS(2-CHLORO-1-METHYLETHYL) ETHER,'metadata': {'comment': 'BIS(2-CHLORO-1-METHYLETHYL) ETHER'}
000615054,float,True,"2,4-DIAMINOANISOLE","'metadata': {'comment': '2,4-DIAMINOANISOLE'}"
007439976,float,True,MERCURY,'metadata': {'comment': 'MERCURY'}
000121448,float,True,TRIETHYLAMINE,'metadata': {'comment': 'TRIETHYLAMINE'}
000098828,float,True,CUMENE,'metadata': {'comment': 'CUMENE'}
000107028,float,True,ACROLEIN,'metadata': {'comment': 'ACROLEIN'}
000507551,float,True,"1,3-DICHLORO-1,1,2,2,3-PENTAFLUOROPROPANE","'metadata': {'comment': '1,3-DICHLORO-1,1,2,2,3-PENTAFLUOROPROPANE'}"
000075445,float,True,PHOSGENE,'metadata': {'comment': 'PHOSGENE'}
000106514,float,True,QUINONE,'metadata': {'comment': 'QUINONE'}
001836755,float,True,NITROFEN,'metadata': {'comment': 'NITROFEN'}
004549400,float,True,N-NITROSOMETHYLVINYLAMINE,'metadata': {'comment': 'N-NITROSOMETHYLVINYLAMINE'}
136013791,float,True,"1,3-DICHLORO-1,1,2,3,3-PENTAFLUOROPROPANE","'metadata': {'comment': '1,3-DICHLORO-1,1,2,3,3-PENTAFLUOROPROPANE'}"
035400432,float,True,SULPROFOS,'metadata': {'comment': 'SULPROFOS'}
000630206,float,True,"1,1,1,2-TETRACHLOROETHANE","'metadata': {'comment': '1,1,1,2-TETRACHLOROETHANE'}"
000117793,float,True,2-AMINOANTHRAQUINONE,'metadata': {'comment': '2-AMINOANTHRAQUINONE'}
000505602,float,True,MUSTARD GAS,'metadata': {'comment': 'MUSTARD GAS'}
016071866,float,True,C.I. DIRECT BROWN 95,'metadata': {'comment': 'C.I. DIRECT BROWN 95'}
000075058,float,True,ACETONITRILE,'metadata': {'comment': 'ACETONITRILE'}
000101688,float,True,METHYLENEBIS(PHENYLISOCYANATE),'metadata': {'comment': 'METHYLENEBIS(PHENYLISOCYANATE)'}
000134292,float,True,O-ANISIDINE HYDROCHLORIDE,'metadata': {'comment': 'O-ANISIDINE HYDROCHLORIDE'}
001689992,float,True,BROMOXYNIL OCTANOATE,'metadata': {'comment': 'BROMOXYNIL OCTANOATE'}
042874033,float,True,OXYFLUORFEN,'metadata': {'comment': 'OXYFLUORFEN'}
000106887,float,True,"1,2-BUTYLENE OXIDE","'metadata': {'comment': '1,2-BUTYLENE OXIDE'}"
000624180,float,True,"1,4-PHENYLENEDIAMINE DIHYDROCHLORIDE","'metadata': {'comment': '1,4-PHENYLENEDIAMINE DIHYDROCHLORIDE'}"
000126998,float,True,CHLOROPRENE,'metadata': {'comment': 'CHLOROPRENE'}
007440473,float,True,CHROMIUM,'metadata': {'comment': 'CHROMIUM'}
000067561,float,True,METHANOL,'metadata': {'comment': 'METHANOL'}
000075343,float,True,ETHYLIDENE DICHLORIDE,'metadata': {'comment': 'ETHYLIDENE DICHLORIDE'}
000156105,float,True,P-NITROSODIPHENYLAMINE,'metadata': {'comment': 'P-NITROSODIPHENYLAMINE'}
007697372,float,True,NITRIC ACID,'metadata': {'comment': 'NITRIC ACID'}
000615281,float,True,"1,2-PHENYLENEDIAMINE DIHYDROCHLORIDE","'metadata': {'comment': '1,2-PHENYLENEDIAMINE DIHYDROCHLORIDE'}"
000090948,float,True,MICHLER'S KETONE,'metadata': {'comment': 'MICHLER'S KETONE'}
000091598,float,True,BETA-NAPHTHYLAMINE,'metadata': {'comment': 'BETA-NAPHTHYLAMINE'}
000091941,float,True,"3,3'-DICHLOROBENZIDINE","'metadata': {'comment': '3,3'-DICHLOROBENZIDINE'}"
000092671,float,True,4-AMINOBIPHENYL,'metadata': {'comment': '4-AMINOBIPHENYL'}
000093652,float,True,MECOPROP,'metadata': {'comment': 'MECOPROP'}
000094586,float,True,DIHYDROSAFROLE,'metadata': {'comment': 'DIHYDROSAFROLE'}
000094746,float,True,METHOXONE,'metadata': {'comment': 'METHOXONE'}
000094757,float,True,"2,4-D","'metadata': {'comment': '2,4-D'}"
000094826,float,True,"2,4-DB","'metadata': {'comment': '2,4-DB'}"
000095487,float,True,O-CRESOL,'metadata': {'comment': 'O-CRESOL'}
000095501,float,True,"1,2-DICHLOROBENZENE","'metadata': {'comment': '1,2-DICHLOROBENZENE'}"
000095807,float,True,"2,4-DIAMINOTOLUENE","'metadata': {'comment': '2,4-DIAMINOTOLUENE'}"
000096093,float,True,STYRENE OXIDE,'metadata': {'comment': 'STYRENE OXIDE'}
000096457,float,True,ETHYLENE THIOUREA,'metadata': {'comment': 'ETHYLENE THIOUREA'}
000097234,float,True,DICHLOROPHENE,'metadata': {'comment': 'DICHLOROPHENE'}
000097563,float,True,C.I. SOLVENT YELLOW 3,'metadata': {'comment': 'C.I. SOLVENT YELLOW 3'}
000098873,float,True,BENZAL CHLORIDE,'metadata': {'comment': 'BENZAL CHLORIDE'}
000098884,float,True,BENZOYL CHLORIDE,'metadata': {'comment': 'BENZOYL CHLORIDE'}
000099558,float,True,5-NITRO-O-TOLUIDINE,'metadata': {'comment': '5-NITRO-O-TOLUIDINE'}
000100425,float,True,STYRENE,'metadata': {'comment': 'STYRENE'}
000100754,float,True,N-NITROSOPIPERIDINE,'metadata': {'comment': 'N-NITROSOPIPERIDINE'}
000101053,float,True,ANILAZINE,'metadata': {'comment': 'ANILAZINE'}
000101611,float,True,"4,4'-METHYLENEBIS(N,N-DIMETHYL)BENZENAMINE","'metadata': {'comment': '4,4'-METHYLENEBIS(N,N-DIMETHYL)BENZENAMINE'}"
000101804,float,True,"4,4'-DIAMINODIPHENYL ETHER","'metadata': {'comment': '4,4'-DIAMINODIPHENYL ETHER'}"
000106423,float,True,P-XYLENE,'metadata': {'comment': 'P-XYLENE'}
000106934,float,True,"1,2-DIBROMOETHANE","'metadata': {'comment': '1,2-DIBROMOETHANE'}"
000107062,float,True,"1,2-DICHLOROETHANE","'metadata': {'comment': '1,2-DICHLOROETHANE'}"
000107119,float,True,ALLYLAMINE,'metadata': {'comment': 'ALLYLAMINE'}
000107197,float,True,PROPARGYL ALCOHOL,'metadata': {'comment': 'PROPARGYL ALCOHOL'}
000108383,float,True,M-XYLENE,'metadata': {'comment': 'M-XYLENE'}
000108452,float,True,"1,3-PHENYLENEDIAMINE","'metadata': {'comment': '1,3-PHENYLENEDIAMINE'}"
000108781,float,True,MELAMINE,'metadata': {'comment': 'MELAMINE'}
000108907,float,True,CHLOROBENZENE,'metadata': {'comment': 'CHLOROBENZENE'}
000108930,float,True,CYCLOHEXANOL,'metadata': {'comment': 'CYCLOHEXANOL'}
000109864,float,True,2-METHOXYETHANOL,'metadata': {'comment': '2-METHOXYETHANOL'}
000110805,float,True,2-ETHOXYETHANOL,'metadata': {'comment': '2-ETHOXYETHANOL'}
000110861,float,True,PYRIDINE,'metadata': {'comment': 'PYRIDINE'}
000111422,float,True,DIETHANOLAMINE,'metadata': {'comment': 'DIETHANOLAMINE'}
000111444,float,True,BIS(2-CHLOROETHYL) ETHER,'metadata': {'comment': 'BIS(2-CHLOROETHYL) ETHER'}
000119937,float,True,"3,3'-DIMETHYLBENZIDINE","'metadata': {'comment': '3,3'-DIMETHYLBENZIDINE'}"
000120127,float,True,ANTHRACENE,'metadata': {'comment': 'ANTHRACENE'}
000120581,float,True,ISOSAFROLE,'metadata': {'comment': 'ISOSAFROLE'}
000120809,float,True,CATECHOL,'metadata': {'comment': 'CATECHOL'}
000120821,float,True,"1,2,4-TRICHLOROBENZENE","'metadata': {'comment': '1,2,4-TRICHLOROBENZENE'}"
000121755,float,True,MALATHION,'metadata': {'comment': 'MALATHION'}
000123319,float,True,HYDROQUINONE,'metadata': {'comment': 'HYDROQUINONE'}
000123911,float,True,"1,4-DIOXANE","'metadata': {'comment': '1,4-DIOXANE'}"
