field,type,nullable,comment,metadata
026628228,float,True,SODIUM AZIDE,'metadata': {'comment': 'SODIUM AZIDE'}
059669260,float,True,THIODICARB,'metadata': {'comment': 'THIODICARB'}
007632000,float,True,SODIUM NITRITE,'metadata': {'comment': 'SODIUM NITRITE'}
077501634,float,True,LACTOFEN,'metadata': {'comment': 'LACTOFEN'}
000128041,float,True,SODIUM DIMETHYLDITHIOCARBAMATE,'metadata': {'comment': 'SODIUM DIMETHYLDITHIOCARBAMATE'}
021725462,float,True,CYANAZINE,'metadata': {'comment': 'CYANAZINE'}
000057330,float,True,PENTOBARBITAL SODIUM,'metadata': {'comment': 'PENTOBARBITAL SODIUM'}
064902723,float,True,CHLORSULFURON,'metadata': {'comment': 'CHLORSULFURON'}
072490018,float,True,FENOXYCARB,'metadata': {'comment': 'FENOXYCARB'}
000088857,float,True,DINITROBUTYL PHENOL,'metadata': {'comment': 'DINITROBUTYL PHENOL'}
010453868,float,True,RESMETHRIN,'metadata': {'comment': 'RESMETHRIN'}
026002802,float,True,PHENOTHRIN,'metadata': {'comment': 'PHENOTHRIN'}
039515418,float,True,FENPROPATHRIN,'metadata': {'comment': 'FENPROPATHRIN'}
000051036,float,True,PIPERONYL BUTOXIDE,'metadata': {'comment': 'PIPERONYL BUTOXIDE'}
000085018,float,True,PHENANTHRENE,'metadata': {'comment': 'PHENANTHRENE'}
000122349,float,True,SIMAZINE,'metadata': {'comment': 'SIMAZINE'}
021087649,float,True,METRIBUZIN,'metadata': {'comment': 'METRIBUZIN'}
007287196,float,True,PROMETRYN,'metadata': {'comment': 'PROMETRYN'}
000094111,float,True,"2,4-D ISOPROPYL ESTER","'metadata': {'comment': '2,4-D ISOPROPYL ESTER'}"
027314132,float,True,NORFLURAZON,'metadata': {'comment': 'NORFLURAZON'}
043121433,float,True,TRIADIMEFON,'metadata': {'comment': 'TRIADIMEFON'}
060168889,float,True,FENARIMOL,'metadata': {'comment': 'FENARIMOL'}
000834128,float,True,AMETRYN,'metadata': {'comment': 'AMETRYN'}
000128030,float,True,POTASSIUM DIMETHYLDITHIOCARBAMATE,'metadata': {'comment': 'POTASSIUM DIMETHYLDITHIOCARBAMATE'}
002702729,float,True,"2,4-D SODIUM SALT","'metadata': {'comment': '2,4-D SODIUM SALT'}"
000300765,float,True,NALED,'metadata': {'comment': 'NALED'}
031218834,float,True,PROPETAMPHOS,'metadata': {'comment': 'PROPETAMPHOS'}
000051218,float,True,FLUOROURACIL,'metadata': {'comment': 'FLUOROURACIL'}
035691657,float,True,"1-BROMO-1-(BROMOMETHYL)-1,3-PROPANEDICARBONITRILE","'metadata': {'comment': '1-BROMO-1-(BROMOMETHYL)-1,3-PROPANEDICARBONITRILE'}"
004080313,float,True,"1-(3-CHLOROALLYL)-3,5,7-TRIAZA-1-AZONIAADAMANTANE CHLORIDE","'metadata': {'comment': '1-(3-CHLOROALLYL)-3,5,7-TRIAZA-1-AZONIAADAMANTANE CHLORIDE'}"
001649087,float,True,"1,2-DICHLORO-1,1-DIFLUOROETHANE","'metadata': {'comment': '1,2-DICHLORO-1,1-DIFLUOROETHANE'}"
000431867,float,True,"1,2-DICHLORO-1,1,3,3,3-PENTAFLUOROPROPANE","'metadata': {'comment': '1,2-DICHLORO-1,1,3,3,3-PENTAFLUOROPROPANE'}"
000071363,float,True,N-BUTYL ALCOHOL,'metadata': {'comment': 'N-BUTYL ALCOHOL'}
000072435,float,True,METHOXYCHLOR,'metadata': {'comment': 'METHOXYCHLOR'}
000078842,float,True,ISOBUTYRALDEHYDE,'metadata': {'comment': 'ISOBUTYRALDEHYDE'}
000088755,float,True,2-NITROPHENOL,'metadata': {'comment': '2-NITROPHENOL'}
001114712,float,True,PEBULATE,'metadata': {'comment': 'PEBULATE'}
010034932,float,True,HYDRAZINE SULFATE,'metadata': {'comment': 'HYDRAZINE SULFATE'}
066441234,float,True,FENOXAPROP ETHYL,'metadata': {'comment': 'FENOXAPROP ETHYL'}
000074953,float,True,METHYLENE BROMIDE,'metadata': {'comment': 'METHYLENE BROMIDE'}
000075865,float,True,2-METHYLLACTONITRILE,'metadata': {'comment': '2-METHYLLACTONITRILE'}
000085687,float,True,BUTYL BENZYL PHTHALATE,'metadata': {'comment': 'BUTYL BENZYL PHTHALATE'}
000105679,float,True,"2,4-DIMETHYLPHENOL","'metadata': {'comment': '2,4-DIMETHYLPHENOL'}"
000123728,float,True,BUTYRALDEHYDE,'metadata': {'comment': 'BUTYRALDEHYDE'}
007440280,float,True,THALLIUM,'metadata': {'comment': 'THALLIUM'}
