TRIFID,FACILITY,LATITUDE,LONGITUDE,STATEGEOID,FACILITY_NAME,STREET,CITY,COUNTYGEOID,STUSPS,ZIP_CODE,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID,ESTIMATE
63026CLSSC269SE,"CLASSIC CULTURED MARBLE 269 SEEBOLD SPUR, FENTON, MO, 63026",,,29,CLASSIC CULTURED MARBLE,269 SEEBOLD SPUR,FENTON,29099,MO,63026,0,C,,,True
63043HTZMC12200,"HEITZ MACHINE & MFG CO INC 12200 DORSETT RD, MARYLAND HEIGHTS, MO, 63043",,,29,HEITZ MACHINE & MFG CO INC,12200 DORSETT RD,MARYLAND HEIGHTS,29189,MO,63043,0,C,,,True
64804SRVCP3800E,"SERVICE PACKING CO 3800 E 32ND ST, JOPLIN, MO, 64804",,,29,SERVICE PACKING CO,3800 E 32ND ST,JOPLIN,29145,MO,64804,0,C,,,True
65020GLVFMRT57S,"GALVA-FOAM MARINE INDUSTRIES INC RT 5 & 7 S, CAMDENTON, MO, 65020",,,29,GALVA-FOAM MARINE INDUSTRIES INC,RT 5 & 7 S,CAMDENTON,29029,MO,65020,0,C,,,True
