TRIFID,FACILITY,LATITUDE,LONGITUDE,STATEGEOID,FACILITY_NAME,STREET,CITY,COUNTYGEOID,STUSPS,ZIP_CODE,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID,ESTIMATE
5860WBKKNLPBX11,"BAKKEN OIL EXPRESS, LLC 3761 115TH AVE., S.W., DICKINSON, ND, 58601",,,38,"BAKKEN OIL EXPRESS, LLC","3761 115TH AVE., S.W.",DICKINSON,38089,ND,58601,0,C,,110045604574,True
5880WTLSLW49281,"ATLAS OIL - WILLISTON FACILITY 4928 140R LANE NW SUITE 102 -, WILLISTON, ND, 58801",,,38,ATLAS OIL - WILLISTON FACILITY,4928 140R LANE NW SUITE 102 -,WILLISTON,38105,ND,58801,0,C,,110070244596,True
